"id_nfpu","features","label"
1956967666,"Layin n bed with a headache  ughhhh...waitin on your call...","sadness"
1956967696,"Funeral ceremony...gloomy friday... ","sadness"
1956968487,"I should be sleep, but im not! thinking about an old friend who I want. but he's married now. damn, &amp; he wants me 2! scandalous! ","sadness"
1956969035,"@charviray Charlene my love. I miss you ","sadness"
1956969172,"@kelcouch I'm sorry  at least it's Friday?","sadness"
1956970047,"Ugh! I have to beat this stupid song to get to the next  rude!","sadness"
1956970424,"@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol","sadness"
1956971077,"The storm is here and the electricity is gone ","sadness"
1956971206,"So sleepy again and it's not even that late. I fail once again. ","sadness"
1956971586,"How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend ","sadness"
1956972359,"so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.","sadness"
1956972557,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!","sadness"
1956973598,"Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!","sadness"
1956976312,"@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?","sadness"
1956977084,"mmm much better day... so far! it's still quite early. last day of #uds ","happiness"
1956979150,"I'm having a problem with my photo here in twitter amf!!!...can't see my face! ","sadness"
1956982383,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.","sadness"
1956982576,"diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.","sadness"
1956982605,"I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;","sadness"
1956983160,"@Pokinatcha  in all honesty...pain   blech.","sadness"
1956983171,"Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ... ","sadness"
1956983690,"@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol","sadness"
1956983874,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.  ","happiness"
1956985535,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?","happiness"
1956985764,"@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?","sadness"
1956986211,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go. ","sadness"
1956986767,"@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia ","sadness"
1956989514,"@sweeetnspicy hiii im on my ipod...i cant fall asleep ","sadness"
1956989526,"dont wanna work 11-830 tomorrow  but i get paid","sadness"
